sound_sample_name,sample,form,geol,hit_number,sample_name,sample_number,sound_sample_name_simple,sound_number,mass_ini,mass_0,mass_n,mass_end,f1_ini,a1_ini,f1_0,a1_0,f1_n,a1_n,f1_end,a1_end
M_pt_a3_1,M,pt,a3,1,S17,17,S17_1,1,400.5,402.79,402.82,400.48,4498,0.2363,4388,0.5915,4234.542892,0.70533,4292.952372,0.821473
M_pt_a3_2,M,pt,a3,2,S17,17,S17_2,2,400.5,402.79,402.82,400.48,4498,0.2363,4388,0.5915,4234.542892,0.70533,4292.952372,0.821473
M_pt_a3_3,M,pt,a3,3,S17,17,S17_3,3,400.5,402.79,402.82,400.48,4498,0.2363,4388,0.5915,4234.542892,0.70533,4292.952372,0.821473
M_pt_a4_1,M,pt,a4,1,S18,18,S18_1,1,395.9,398.37,397.82,395.56,4719,0.7873,4596,0.8113,4609.862625,0.621888,4710.225148,1.294932
M_pt_a4_2,M,pt,a4,2,S18,18,S18_2,2,395.9,398.37,397.82,395.56,4719,0.7873,4596,0.8113,4609.862625,0.621888,4710.225148,1.294932
M_pt_a4_3,M,pt,a4,3,S18,18,S18_3,3,395.9,398.37,397.82,395.56,4719,0.7873,4596,0.8113,4609.862625,0.621888,4710.225148,1.294932
M_pt_b2_1,M,pt,b2,1,S19,19,S19_1,1,415.23,418.31,416.18,413.45,4536,0.4171,4411,0.7588,4414.547779,0.553551,4509.984169,0.52142
M_pt_b2_2,M,pt,b2,2,S19,19,S19_2,2,415.23,418.31,416.18,413.45,4536,0.4171,4411,0.7588,4414.547779,0.553551,4509.984169,0.52142
M_pt_b2_3,M,pt,b2,3,S19,19,S19_3,3,415.23,418.31,416.18,413.45,4536,0.4171,4411,0.7588,4414.547779,0.553551,4509.984169,0.52142
M_pt_b3_1,M,pt,b3,1,S20,20,S20_1,1,387.08,389.91,388.16,0,4571,0.3748,4462,0.7244,3491.377094,4.810917,0,0
M_pt_b3_2,M,pt,b3,2,S20,20,S20_2,2,387.08,389.91,388.16,0,4571,0.3748,4462,0.7244,3491.377094,4.810917,0,0
M_pt_b3_3,M,pt,b3,3,S20,20,S20_3,3,387.08,389.91,388.16,0,4571,0.3748,4462,0.7244,3491.377094,4.810917,0,0
M_pt_b4_1,M,pt,b4,1,S21,21,S21_1,1,461.26,463.84,463.18,461.14,4823.929005,0.448384,4706.268518,0.687095,4718.767208,0.632447,4806.035775,0.460928
M_pt_b4_2,M,pt,b4,2,S21,21,S21_2,2,461.26,463.84,463.18,461.14,4823.929005,0.448384,4706.268518,0.687095,4718.767208,0.632447,4806.035775,0.460928
M_pt_b4_3,M,pt,b4,3,S21,21,S21_3,3,461.26,463.84,463.18,461.14,4823.929005,0.448384,4706.268518,0.687095,4718.767208,0.632447,4806.035775,0.460928
M_pt_c2_1,M,pt,c2,1,S22,22,S22_1,1,770.46,773.34,773.45,770.71,6597,0.3265,6472,0.5026,6511.467085,0.740086,6579.784775,0.490511
M_pt_c2_2,M,pt,c2,2,S22,22,S22_2,2,770.46,773.34,773.45,770.71,6597,0.3265,6472,0.5026,6511.467085,0.740086,6579.784775,0.490511
M_pt_c2_3,M,pt,c2,3,S22,22,S22_3,3,770.46,773.34,773.45,770.71,6597,0.3265,6472,0.5026,6511.467085,0.740086,6579.784775,0.490511
M_pt_c3_1,M,pt,c3,1,S23,23,S23_1,1,671.97,674.62,674.68,672.02,6197,0.3835,6073,0.5518,6062.192123,0.558998,6168.036091,0.694609
M_pt_c3_2,M,pt,c3,2,S23,23,S23_2,2,671.97,674.62,674.68,672.02,6197,0.3835,6073,0.5518,6062.192123,0.558998,6168.036091,0.694609
M_pt_c3_3,M,pt,c3,3,S23,23,S23_3,3,671.97,674.62,674.68,672.02,6197,0.3835,6073,0.5518,6062.192123,0.558998,6168.036091,0.694609
M_pt_c4_1,M,pt,c4,1,S24,24,S24_1,1,743.79,746.32,745.79,743.06,6406,0.4422,6305,0.5659,6332.153106,1.155542,6426.79265,0.769807
M_pt_c4_2,M,pt,c4,2,S24,24,S24_2,2,743.79,746.32,745.79,743.06,6406,0.4422,6305,0.5659,6332.153106,1.155542,6426.79265,0.769807
M_pt_c4_3,M,pt,c4,3,S24,24,S24_3,3,743.79,746.32,745.79,743.06,6406,0.4422,6305,0.5659,6332.153106,1.155542,6426.79265,0.769807
S_pl_a_1,S,pl,a,1,S25,25,S25_1,1,0,1965.94,1971.9,0,2384.185089,0.305304,2219,0.6633,1990.170771,1.152276,0,0
S_pl_a_2,S,pl,a,2,S25,25,S25_2,2,0,1965.94,1971.9,0,2384.185089,0.305304,2219,0.6633,1990.170771,1.152276,0,0
S_pl_a_3,S,pl,a,3,S25,25,S25_3,3,0,1965.94,1971.9,0,2384.185089,0.305304,2219,0.6633,1990.170771,1.152276,0,0
S_pl_a_4,S,pl,a,4,S25,25,S25_4,4,0,1965.94,1971.9,0,2384.185089,0.305304,2219,0.6633,1990.170771,1.152276,0,0
S_pl_a_5,S,pl,a,5,S25,25,S25_5,5,0,1965.94,1971.9,0,2384.185089,0.305304,2219,0.6633,1990.170771,1.152276,0,0
S_pl_a_6,S,pl,a,6,S25,25,S25_6,6,0,1965.94,1971.9,0,2384.185089,0.305304,2219,0.6633,1990.170771,1.152276,0,0
S_pl_a_7,S,pl,a,7,S25,25,S25_7,7,0,1965.94,1971.9,0,2384.185089,0.305304,2219,0.6633,1990.170771,1.152276,0,0
S_pl_a_8,S,pl,a,8,S25,25,S25_8,8,0,1965.94,1971.9,0,2384.185089,0.305304,2219,0.6633,1990.170771,1.152276,0,0
S_pl_a_9,S,pl,a,9,S25,25,S25_9,9,0,1965.94,1971.9,0,2384.185089,0.305304,2219,0.6633,1990.170771,1.152276,0,0
S_pl_d_1,S,pl,d,1,S26,26,S26_1,1,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_2,S,pl,d,2,S26,26,S26_2,2,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_3,S,pl,d,3,S26,26,S26_3,3,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_4,S,pl,d,4,S26,26,S26_4,4,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_6,S,pl,d,6,S26,26,S26_6,6,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_7,S,pl,d,7,S26,26,S26_7,7,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_8,S,pl,d,8,S26,26,S26_8,8,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_9,S,pl,d,9,S26,26,S26_9,9,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pt_d2_1,S,pt,d2,1,S27,27,S27_1,1,617.75,632.41,633.89,617.39,9348,0.6028,8630,1.47,4537.750205,4.959572,7104.522742,0.681352
S_pt_d2_3,S,pt,d2,3,S27,27,S27_3,3,617.75,632.41,633.89,617.39,9348,0.6028,8630,1.47,4537.750205,4.959572,7104.522742,0.681352
S_pt_d3_3,S,pt,d3,3,S28,28,S28_3,3,0,0,0,0,8478,0.9505,7892,1.421,5652.558195,6.901939,0,0
S_pt_d4_2,S,pt,d4,2,S29,29,S29_2,2,0,0,0,0,9207,0.899,8621,1.066,4549.123918,2.330161,0,0
S_pt_d4_3,S,pt,d4,3,S29,29,S29_3,3,0,0,0,0,9207,0.899,8621,1.066,4549.123918,2.330161,0,0
LG_pl_a_1,LG,pl,a,1,S30,30,S30_1,1,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_2,LG,pl,a,2,S30,30,S30_2,2,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_3,LG,pl,a,3,S30,30,S30_3,3,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_4,LG,pl,a,4,S30,30,S30_4,4,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_5,LG,pl,a,5,S30,30,S30_5,5,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_6,LG,pl,a,6,S30,30,S30_6,6,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_7,LG,pl,a,7,S30,30,S30_7,7,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_8,LG,pl,a,8,S30,30,S30_8,8,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_9,LG,pl,a,9,S30,30,S30_9,9,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
P_pl_a_1,P,pl,a,1,S31,31,S31_1,1,1636.5,1657.55,1656.34,1636.62,3020,0.4311,2943,0.3937,2854.714907,0.373521,2906.21575,0.454652
